protocolSection.identificationModule.briefTitle,protocolSection.statusModule.statusVerifiedDate,protocolSection.statusModule.overallStatus,protocolSection.statusModule.completionDateStruct.date,protocolSection.sponsorCollaboratorsModule.responsibleParty.type,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorFullName,protocolSection.sponsorCollaboratorsModule.leadSponsor.name,protocolSection.conditionsModule.conditions,protocolSection.designModule.studyType,protocolSection.designModule.enrollmentInfo.count,protocolSection.designModule.enrollmentInfo.type,protocolSection.armsInterventionsModule.interventions,protocolSection.conditionsModule.keywords,protocolSection.eligibilityModule.studyPopulation
European Home Mechanical Ventilation Registry,2020-04,TERMINATED,2019-01,SPONSOR,,ResMed,"['Pulmonary Disease, Chronic Obstructive', 'Amyotrophic Lateral Sclerosis', 'Spinal Cord Injury', 'Muscular Dystrophies', 'Obesity Hypoventilation Syndrome', 'Kyphoscoliosis', 'Congenital Central Hypoventilation Syndrome', 'Duchenne Muscular Dystrophy', 'Myopathies', 'Myotonic Dystrophy']",OBSERVATIONAL,37.0,ACTUAL,,,"The registry will target all adult individuals who have an indication for HMV (including those with amyotrophic lateral sclerosis \[ALS\], central hypoventilation syndrome \[CHS\], chronic obstructive pulmonary disease \[COPD\], kyphoscoliosis, obesity hypoventilation syndrome \[OHS\], spinal cord injury \[SCI\], Duchenne muscular dystrophy \[DMD\], muscular dystrophies \[MDs\] other than DMD, myopathies and myotonic dystrophy \[Steinert's muscular dystrophy; SMD\]). All newly-diagnosed patients with chronic respiratory diseases who are eligible for HMV treatment as part of routine care can be included in the registry. Patients who satisfy all the inclusion criteria will be consecutively enrolled into the registry."
Pharmacokinetic and Pharmacodynamic Study of AMX0035 in Patients With ALS,2023-07,ACTIVE_NOT_RECRUITING,2023-09,SPONSOR,,Amylyx Pharmaceuticals Inc.,['ALS'],INTERVENTIONAL,14.0,ESTIMATED,"[{'name': 'AMX0035', 'description': 'Fixed dose combination of Sodium Phenylbutyrate and taurursodiol.'}]","['Neurodegenerative Diseases', 'Motor Neuron Disease', 'Amyotrophic Lateral Sclerosis', 'Nervous System Diseases', 'Neuromuscular Diseases']",
Circulating Biomarker for Amyotrophic Lateral Sclerosis (ALS),2023-03,RECRUITING,2024-12-01,PRINCIPAL_INVESTIGATOR,Alba Di Pardo,Neuromed IRCCS,['Amyotrophic Lateral Sclerosis (ALS)'],OBSERVATIONAL,60.0,ESTIMATED,,,"A total of 60 individuals (30 subjects clinically diagnosed as ALS patients and 30 healthy controls) will be recruited at Centre for Rare Diseases, IRCCS Neuromed"
A Study of Caregiver Connections Via Technology in Dementia,2023-03,RECRUITING,2024-12,PRINCIPAL_INVESTIGATOR,"Julie A. Fields, Ph.D., L.P.",Mayo Clinic,"['Caregiver Stress', 'Dementia', 'Alzheimer Disease', 'Lewy Body Dementia', 'Parkinson Disease Dementia', 'Frontotemporal Dementia']",INTERVENTIONAL,355.0,ESTIMATED,"[{'name': 'Algorithm', 'description': 'For purpose of finding peer-to-peer support, current and/or former caregivers of persons with dementia will be matched using an algorithm. They can then choose make a connection and maintain a connection for the duration of the study.'}, {'name': 'Random Match', 'description': 'For purpose of finding peer-to-peer support, current and/or former caregivers of persons with dementia will be randomly matched. They can then choose make a connection and maintain a connection for the duration of the study.'}]",,
Cistanche Total Glycosides for Amyotrophic Lateral Sclerosis: A Randomized Control Trial (RCT) Study Assessing Clinical Response,2008-09,UNKNOWN,2010-10,,,Peking University,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,40.0,ESTIMATED,"[{'name': 'Cistanche Total Glycosides', 'description': 'Drug: Cistanche Total Glycosides Cistanche Total Glycosides ,1.8g/day(6 capsules) po Qd\\*9months Arms: 1 Drug: blank capsules 6 capsules po Qd\\*9months\n\nArms: 2'}]","['Amyotrophic Lateral Sclerosis', 'Cistanche Total Glycosides', 'Randomized Control Trial Study']",
"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of BIIB100 Administered Orally to Adults With Amyotrophic Lateral Sclerosis",2023-04,COMPLETED,2021-06-21,SPONSOR,,Biogen,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,49.0,ACTUAL,"[{'name': 'BIIB100', 'description': 'Administered as specified in the treatment arm.'}, {'name': 'Placebo', 'description': 'Administered as specified in the treatment arm.'}]",,
Clinical Manifestations and Biomarkers in Amyotrophic Lateral Sclerosis Type 4 and Other Inherited Neurological Disorders of RNA Processing,2024-01-04,RECRUITING,2030-12-31,SPONSOR,,National Institute of Neurological Disorders and Stroke (NINDS),"['Amyotrophic Lateral Sclerosis Type 4', 'Inherited Neurological Disorders of RNA Processing']",OBSERVATIONAL,315.0,ESTIMATED,,"['Natural History Study', 'Biomarker Development', 'Natural History']",Disease cohorts with defined mutations
Clinical Trial on The Use of Autologous Bone Marrow Stem Cells in Amyotrophic Lateral Sclerosis (Extension CMN/ELA),2015-11,COMPLETED,2015-11-20,SPONSOR,,Fundacion para la Formacion e Investigacion Sanitarias de la Region de Murcia,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,63.0,ACTUAL,"[{'name': 'Laminectomy and bone marrow stem cells transplantation', 'description': 'Autologous bone marrow cells collection under sedation. Sixty ml are obtained and processed through a ficoll gradient.\n\nT3-T4 laminectomy and bone marrow ficoll separated mononuclear autologous cells intraspinal transplantation'}, {'name': 'Intrathecal infusion of autologous bone marrow stem cells', 'description': 'Autologous bone marrow cells collection under sedation. Sixty ml are obtained and processed through a ficoll gradient.\n\nPatients were drawn 2 ml of cerebrospinal fluid and infused 2 ml (two 1 ml syringes) of Autologous Stem Cells.'}, {'name': 'Intrathecal infusion of placebo (saline solution).', 'description': 'Patients were infused 2 ml of saline solution'}]","['Amyotrophic Lateral Sclerosis', 'Bone marrow', 'Stem cells', 'Autologous', 'Safety']",
"Efficacy, Safety, Pharmacodynamic, and Pharmacokinetics Study of Olipudase Alfa in Patients With Acid Sphingomyelinase Deficiency",2023-11,COMPLETED,2023-10-19,SPONSOR,,"Genzyme, a Sanofi Company",['Sphingomyelin Lipidosis'],INTERVENTIONAL,36.0,ACTUAL,"[{'name': 'placebo (saline)', 'description': 'Pharmaceutical form: solution administered once every two weeks during the 52 weeks of the primary analysis period for participants randomized to placebo.\n\nRoute of administration: intravenous infusion'}, {'name': 'GZ402665', 'description': 'Pharmaceutical form: Powder for concentrate for solution for infusion administered once every two weeks during the 52 weeks of the primary analysis period for participants randomized to olipudase alfa, and during the extension treatment period for all participants.\n\nRoute of administration: intravenous infusion'}]",,
Repeated Mesenchymal Stem Cell Injections in ALS,2020-05,COMPLETED,2020-12-31,SPONSOR,,Hadassah Medical Organization,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,20.0,ACTUAL,"[{'name': 'Mesenchymal stem cells (MSC)', 'description': 'Intrathecal injections of autologous bone marrow derived mesenchymal stem cells'}]","['ALS', 'Mesenchymal stem cells', 'ALSFRSr']",
Neurogenic Dysphonia/Dysphagia Registry,2016-09,TERMINATED,2016-09,SPONSOR,,"Merz North America, Inc.","['Neurogenic Dysphonia', 'Neurogenic Dysphagia']",OBSERVATIONAL,146.0,ACTUAL,,"['dysphonia', 'dysphagia', 'neurogenic', 'vocal fold augmentation', 'VFA', 'vocal fold insufficiency', 'Prolaryn', 'Radiesse', 'Coaptite', 'voice', ""Parkinson's Disease"", 'Multiple Sclerosis', 'Amyotrophic Lateral Sclerosis', 'ALS', 'MS', 'calcium hydroxylapatite', 'hyaluronic acid']",Adults with neurogenic dysphonia/dysphagia treated with vocal fold augmentation
Creation of a Bank of Fibroblast From Patients With Amyotrophic Lateral Sclerosis: Pilot Study,2018-04,COMPLETED,2015-03-17,SPONSOR,,Institut Pasteur,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,19.0,ACTUAL,"[{'name': 'skin biopsy', 'description': 'biopsy 5mm maximum on healthy skin under local anaesthesia.'}]",,
Phase1 First in Human Ascending Dose Study to Evaluate the Safety and Tolerability of FC-12738 in Health Adults,2023-07,NOT_YET_RECRUITING,2024-07,SPONSOR,,Neurodegenerative Disease Research Inc,"['Safety Issues', 'Tolerance']",INTERVENTIONAL,24.0,ESTIMATED,"[{'name': 'FC-12738', 'description': 'Retro enversio pentapeptide of thymopentin'}, {'name': 'Saline', 'description': 'placebo'}]",,
New Therapeutic Strategy in ALS Based on Metabolic Status and Associated Metabolic Pathways.,2023-11,ACTIVE_NOT_RECRUITING,2024-01,SPONSOR,,"University Hospital, Tours",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,9.0,ESTIMATED,"[{'name': 'Samples', 'description': 'Blood sample, skin biopsy'}, {'name': 'Indirect calorimetry', 'description': 'Measurement of energy expenditure by indirect calorimetry'}, {'name': 'Electrical bioimpedance', 'description': 'Measurement of electrical bioimpedance'}]","['Amyotrophic Lateral Sclerosis', 'Metabolomics', 'Transcriptomics', 'Biomarkers', 'Fibroblast']",
A Longitudinal Analysis of Biomarkers in Patients With ALS,2023-09,RECRUITING,2024-09,SPONSOR,,"Holy Cross Hospital, Florida",['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,90.0,ESTIMATED,"[{'name': 'Venipuncture', 'description': 'Venipuncture'}, {'name': 'Lumbar Puncture', 'description': 'Lumbar Puncture'}]",,60 ALS subjects and 30 control subjects will be enrolled in the study
A Pilot Study of Inosine in Amyotrophic Lateral Sclerosis (ALS),2017-10,COMPLETED,2016-03,PRINCIPAL_INVESTIGATOR,"Sabrina Paganoni, M.D.",Massachusetts General Hospital,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,32.0,ACTUAL,"[{'name': 'Inosine', 'description': 'Twenty-five eligible subjects will receive inosine for 12 weeks (administered in the form of 500 mg capsules, 1 to 6 capsules a day for a total daily dose of up to 3 gm). The dose of inosine will be titrated to target urate levels of 7-8 mg/dL based on urate level measurement that will occur at Week 2, Week 4, Week 6, and Week 9 after Baseline.'}]","['ALS', 'Inosine', 'Uric acid', 'Urate', 'Glutathione', 'Biomarker', 'Oxidative stress', 'Oxidative damage', 'proof-of-concept']",
From Movement Preparation to Gait Execution in ALS,2021-08,COMPLETED,2015-12-21,SPONSOR,,"Institut National de la Santé Et de la Recherche Médicale, France",['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,59.0,ACTUAL,,"['movement preparation', 'gait', 'gait initiation', 'postural control', 'neuroimaging']",ALS patients with motor deficit with or without postural instability
Test of A Model of Representational Knowledge Stored in the Human Prefrontal Cortex,2010-04-07,COMPLETED,2010-04-07,,,National Institute of Neurological Disorders and Stroke (NINDS),"['Intracranial Central Nervous System Disorder', 'Mental Disorder', 'Healthy']",OBSERVATIONAL,949.0,ACTUAL,,"['Cognition', 'Frontal Lobes', 'Frontotemporal Dementia', 'Focal Lesions', 'Executive Functions', 'Frontotemporal Lobe Dementia', 'Frontal Lobe', 'Frontal Lobe Dementia', 'Healthy Volunteer', 'HV', 'Normal Control']",
A Complex Intervention Study on a Palliative Rehabilitation Blended Learning Program to Support Relatives and Health Care Providers of People With ALS and Cognitive Impairments in Coping With Challenges,2023-02,COMPLETED,2022-10-31,PRINCIPAL_INVESTIGATOR,Lene Klem Olesen,Danish Rehabilitation Centre for Neuromuscular Diseases,"['Relatives', 'Health Care Providers', 'Cognitive Impairment', 'Rehabilitation']",INTERVENTIONAL,28.0,ACTUAL,"[{'name': 'EMBRACE (relatives)', 'description': 'Online support program for both relatives'}, {'name': 'EMBRACE (Health care providers)', 'description': 'Online support program for health care providers'}]","['Relatives, informal carer, family carer', 'ALS/MND', 'Cognitive impairment', 'Palliative rehabilitation', 'Blended learning', 'Online support, telehealth, e-learning', 'Peer-support', 'Health care providers']",
Respiratory Care in Intensive Care Unit for Neuromuscular Patients,2017-08,UNKNOWN,2017-10,SPONSOR,,Hospices Civils de Lyon,['Respiratory Failure'],OBSERVATIONAL,300.0,ESTIMATED,"[{'name': 'Ventilatory support', 'description': 'Initiation of mechanical ventilatory support, invasive or non-invasive, Or modification of mechanical ventilatory support (modification of the parameters of the device, change of material, switch from non-invasive to invasive)'}]","['Neuromuscular Diseases', 'Muscular dystrophy', 'Amyotrophic Lateral Sclerosis', 'Acute respiratory failure', 'respiratory care', 'mechanical ventilation', 'weaning', 'Intensive Care Unit', 'Critical Care', 'Survival']","Adult patients presenting a neuromuscular disease, with involvement of respiratory or bulbar muscles.

Neuromuscular diseases concerned :

Central or Peripheral metabolic, toxic, or inflammatory neuropathies, Central or peripheral neurodegenerative or hereditary disorders Myopathies, amongst them dystrophinopathies, myotonic dystrophies Myasthenia gravis Tetraplegy, consequence of cervical spinal cord injury"
Palmitoylethanolamide Combined With Luteoline in Frontotemporal Dementia Patients. A Randomized Controlled Trial,2022-06,COMPLETED,2023-06-30,SPONSOR,,I.R.C.C.S. Fondazione Santa Lucia,['Frontotemporal Dementia'],INTERVENTIONAL,50.0,ACTUAL,"[{'name': 'PEA-LUT', 'description': 'PEA-LUT administration at the oral dosage of 700 mg x 2/day'}, {'name': 'PLACEBO', 'description': 'PLACEBO administration at the oral dosage of 700 mg x 2/day'}]","['dopamine', 'frontal cortex', 'GABA']",
"Open-label Study to Evaluate Safety, Tolerability and PK of BHV-0223 in ALS",2022-02,COMPLETED,2018-10-08,SPONSOR,,"Biohaven Pharmaceuticals, Inc.","['Amyotrophic Lateral Sclerosis', 'ALS', 'Lou Gehrig Disease', ""Lou Gehrig's Disease"", 'Lou-Gehrigs Disease', 'Motor Neuron Disease, Amyotrophic Lateral Sclerosis']",INTERVENTIONAL,22.0,ACTUAL,"[{'name': 'BHV-0223', 'description': 'BHV-0223, 40 mg BID'}]","['Amyotrophic Lateral Sclerosis', 'ALS', 'Biohaven', 'Motor Neuron Disease, Amyotrophic Lateral Sclerosis', ""Lou Gehrig's Disease"", 'Lou-Gehrigs Disease', 'Lou Gehrig Disease', 'Riluzole', 'Rilutek®', 'Neuroprotective Agents', 'Administration, Sublingual', 'Administration, Oral', 'Biological Availability']",
Xavier Electromyographic Wheelchair Control for Limited Mobility Patients,2021-03,COMPLETED,2019-10-30,PRINCIPAL_INVESTIGATOR,Bjorn E. Oskarsson,Mayo Clinic,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,4.0,ACTUAL,"[{'name': 'Xavier wheelchair controller', 'description': 'Controlling a wheelchair using the Xavier surface EMG system'}]",,
Cluster Randomized Trial of Stepped Care Intervention vs. Treatment as Usual for Patients With Depression,2015-07,COMPLETED,2015-05,PRINCIPAL_INVESTIGATOR,PD Dr. phil. Birgit Watzke,Universitätsklinikum Hamburg-Eppendorf,['Depression'],INTERVENTIONAL,737.0,ACTUAL,"[{'name': 'Active monitoring', 'description': 'General physician performs monitoring every 2 weeks using the PHQ-9 depression scale.'}, {'name': 'Bibliotherapy', 'description': 'Patient works with self-help book ""Selbsthilfe bei Depressionen"" (Görlitz, 2010) under general physician\'s supervision.'}, {'name': 'Online self-help', 'description': 'Patient works with online self-help program ""Deprexis"" under general physician\'s supervision.'}, {'name': 'Outpatient psychotherapy', 'description': 'Patient receives outpatient psychodynamic or cognitive-behavioural psychotherapy from a psychotherapist participating in the network.'}, {'name': 'Psychiatric treatment', 'description': 'Patient receives treatment from psychiatrist or general physician participating in the network, this includes psychopharmacotherapy. Treatment takes place within routine care, thus psychiatrists or general physicians individually determine the type of medication and are committed to follow the recommendations of the German S3-Guideline/National Disease Management Guideline for Unipolar Depression.'}, {'name': 'Combined psychotherapy and psychopharmacological treatment', 'description': 'Patient receives psychotherapy combined with psychopharmacological treatment, if necessary in inpatient setting.'}, {'name': 'Control group: treatment as usual', 'description': 'treatment as usual'}]","['depression', 'stepped care', 'evidence-based medicine', 'health services research', 'psychotherapy', 'complex intervention', 'guideline']",
"Comprehensive Analysis Platform To Understand, Remedy and Eliminate ALS",2023-05,RECRUITING,2025-07,SPONSOR,,University of Alberta,"['Amyotrophic Lateral Sclerosis', 'Primary Lateral Sclerosis', 'Progressive Muscular Atrophy', 'Frontotemporal Degeneration']",OBSERVATIONAL,150.0,ESTIMATED,,"['Biomarker', 'Biorepository', 'ALS', 'Disease Progression', 'MRI', 'Biofluids']","People living with ALS and related motor neuron diseases including ALS-Frontotemporal Dementia (ALS-FTD), Primary Lateral Sclerosis (PLS), Progressive Muscular Atrophy (PMA) and asymptomatic individuals with a known ALS mutation

AND

Healthy controls that are age and sex matched to patients"
Edinburgh Cognitive and Behavioural Amyotrophic Lateral Sclerosis Screen in Norway: A Validation Study,2022-03,RECRUITING,2022-12-31,SPONSOR,,Haukeland University Hospital,"['Amyotrophic Lateral Sclerosis', 'Cognitive Impairment']",OBSERVATIONAL,50.0,ESTIMATED,"[{'name': 'ECAS-N', 'description': 'All participants included will be tested with the ECAS-N'}, {'name': 'MoCA', 'description': 'All included patients With ALS will be tested With the MoCA'}]","['Amyotrophic lateral sclerosis', 'Cognitive', 'Screening', 'Validation']","Patients who fulfill the inclution criteria and attending to the ALS-unit at HUH, St.Olavs Hospital, Hospital of Southern Norway or Namsos Hospital, within 4 months after being diagnosed With ALS.

Healthy People and patients with dementia will constitute Control groups"
A First in Human Study in Healthy Volunteers and in Participants With Frontotemporal Dementia With Granulin (GRN) Mutation,2020-07,COMPLETED,2019-12-31,SPONSOR,,Alector Inc.,"['Healthy', 'Frontotemporal Dementia']",INTERVENTIONAL,64.0,ACTUAL,"[{'name': 'AL001', 'description': 'Active dose of AL001'}, {'name': 'Placebo', 'description': 'Saline solution administered as a single infusion as palcebo.'}]",,
A Study to Evaluate Caregiver Connections Via Technology for Patients With Alzheimer's and Other Types of Dementia,2022-11,WITHDRAWN,2024-12,PRINCIPAL_INVESTIGATOR,"Julie A. Fields, Ph.D., L.P.",Mayo Clinic,"['Caregiver Stress', 'Dementia', 'Alzheimer Dementia', 'Lewy Body Dementia', 'Parkinson Disease Dementia', 'Frontotemporal Dementia']",INTERVENTIONAL,0.0,ACTUAL,"[{'name': 'Algorithm', 'description': 'Current and/or former Care Partners of persons with dementia will be matched using an algorithm to other Care Partners who might provide emotional support.'}, {'name': 'Random Match', 'description': 'Current and/or former Care Partners of persons with dementia will be randomly matched to other Care Partners who might provide emotional support.'}]",,
Relationship Between Neurological Disability and Visual Impairment in Patients With ALS or Friedreich's Ataxia,2018-04,UNKNOWN,2020-02,SPONSOR_INVESTIGATOR,Jose Luis Urcelay Segura,Jose Luis Urcelay Segura,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,90.0,ESTIMATED,,"['optical coherence tomography', 'amyotrophic lateral sclerosis']",Amyotrophic lateral sclerosis patients Friedreich's ataxia patients Healthy volunteers
Language in Primary Progressive Aphasia,2023-01,RECRUITING,2027-04,PRINCIPAL_INVESTIGATOR,Marsel Mesulam,Northwestern University,['Primary Progressive Aphasia'],OBSERVATIONAL,500.0,ESTIMATED,,"['primary progressive aphasia', 'frontotemporal dementia', 'semantic dementia', 'progressive nonfluent aphasia', 'progressive aphasia', 'frontotemporal lobar degeneration']","Participants with PPA will be recruited from the Northwestern University Alzheimer's Disease Center Core registry, the Northwestern University Neurobehavior and Memory Clinic, and from those who contact the center that are interested in PPA research."
